Altium Designer Pick and Place Locations
D:\project\BLE_Indoor_Positioning\基站设计软硬件资料\Nordic Semiconductor\PCA20054-Direction Finding Antenna Board 1_0_0\PCA20054-Direction Finding Antenna Board 1_0_0\outputs_NO_SVN\Pick Place for 400503.csv

========================================================================================================================
File Design Information:

Date:       03/03/25
Time:       12:37
Revision:   f938a3be764e2d2a5ed0a9ccfd6e21bad559861e
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"ANTSWIGPIO","ZX-XH2.54-6PZZ","BottomLayer","CONN-TH_6P-P2.50_ZX-XH2.54-6PZZ","3849.208","3016.930","180",""
"J1","SMA Vertical","BottomLayer","CON_SMA_COAX_FEM_STRAIGHT_5P_1","3925.984","5588.583","180","SMA Vertical connector"
"L316","2.4nH","TopLayer","INDC1005X04L","2480.854","5683.239","135","Inductor, 220mA, ±0.1nH"
"L315","2.4nH","TopLayer","INDC1005X04L","2154.198","5635.995","45","Inductor, 220mA, ±0.1nH"
"L314","2.4nH","TopLayer","INDC1005X04L","2153.918","5418.224","315","Inductor, 220mA, ±0.1nH"
"L313","2.4nH","TopLayer","INDC1005X04L","2187.627","2480.854","225","Inductor, 220mA, ±0.1nH"
"L312","2.4nH","TopLayer","INDC1005X04L","2234.872","2154.198","135","Inductor, 220mA, ±0.1nH"
"L311","2.4nH","TopLayer","INDC1005X04L","2452.642","2153.918","45","Inductor, 220mA, ±0.1nH"
"L310","2.4nH","TopLayer","INDC1005X04L","5390.012","2187.626","315","Inductor, 220mA, ±0.1nH"
"L309","2.4nH","TopLayer","INDC1005X04L","5716.667","2234.870","225","Inductor, 220mA, ±0.1nH"
"L308","2.4nH","TopLayer","INDC1005X04L","5716.947","2452.641","135","Inductor, 220mA, ±0.1nH"
"L307","2.4nH","TopLayer","INDC1005X04L","5683.239","5390.012","45","Inductor, 220mA, ±0.1nH"
"L306","2.4nH","TopLayer","INDC1005X04L","5635.995","5716.668","315","Inductor, 220mA, ±0.1nH"
"L305","2.4nH","TopLayer","INDC1005X04L","5418.224","5716.948","225","Inductor, 220mA, ±0.1nH"
"C341","10nF","TopLayer","CAPC1005X04L","2614.265","5845.173","45","Capacitor, X7R, ±10%"
"C340","10nF","TopLayer","CAPC1005X04L","2018.691","5800.829","135","Capacitor, X7R, ±10%"
"C339","10nF","TopLayer","CAPC1005X04L","2019.679","5254.592","225","Capacitor, X7R, ±10%"
"C338","10nF","TopLayer","CAPC1005X04L","2025.694","2614.265","135","Capacitor, X7R, ±10%"
"C337","10nF","TopLayer","CAPC1005X04L","2070.037","2018.691","225","Capacitor, X7R, ±10%"
"C336","10nF","TopLayer","CAPC1005X04L","2616.274","2019.679","315","Capacitor, X7R, ±10%"
"C335","10nF","TopLayer","CAPC1005X04L","5256.601","2025.692","225","Capacitor, X7R, ±10%"
"C334","10nF","TopLayer","CAPC1005X04L","5852.175","2070.036","315","Capacitor, X7R, ±10%"
"C333","10nF","TopLayer","CAPC1005X04L","5851.187","2616.273","45","Capacitor, X7R, ±10%"
"C332","10nF","TopLayer","CAPC1005X04L","5845.173","5256.601","315","Capacitor, X7R, ±10%"
"C331","10nF","TopLayer","CAPC1005X04L","5800.829","5852.176","45","Capacitor, X7R, ±10%"
"C330","10nF","TopLayer","CAPC1005X04L","5253.925","5852.153","135","Capacitor, X7R, ±10%"
"R508","0R","BottomLayer","RESC1005X04L","4729.528","3119.594","180","Resistor, ±5%, 0.063W"
"R507","N.C.","TopLayer","RESC1005X04L_NC","3906.693","4064.476","0","Not mounted"
"R506","N.C.","TopLayer","RESC1005X04L_NC","3906.693","4174.712","0","Not mounted"
"R505","0R","TopLayer","RESC1005X04L","3926.378","4119.594","270","Resistor, ±5%, 0.063W"
"R352","100R","BottomLayer","RESC1005X04L","3591.732","3266.050","0","Resistor, ±1%, 0.063W"
"R351","100R","BottomLayer","RESC1005X04L","3682.283","3266.050","180","Resistor, ±1%, 0.063W"
"R350","100R","BottomLayer","RESC1005X04L","3792.520","2784.948","0","Resistor, ±1%, 0.063W"
"R349","100R","BottomLayer","RESC1005X04L","3883.071","2784.948","180","Resistor, ±1%, 0.063W"
"C329","18pF","BottomLayer","CAPC1005X04L","3883.071","2749.515","180","Capacitor, NP0, ±5%"
"C328","18pF","BottomLayer","CAPC1005X04L","3792.520","2749.515","0","Capacitor, NP0, ±5%"
"C327","18pF","BottomLayer","CAPC1005X04L","3682.283","3301.484","180","Capacitor, NP0, ±5%"
